filename,sumber,nama_toko,tanggal_clean,tanggal_valid,nama_barang,jumlah_barang,harga_satuan,total_harga_item,kategori_harga,bulan,tahun,bulan_tahun,estimasi_laba_20
primer_0103.jpg,primer,Pt Depok Distribusindo Raya,2015-10-20,True,Soklnpordet Eop Rtr 43Crr7,1.0,775.0,775.0,Sangat Murah (<=5rb),10.0,2015.0,2015-10,155.0
primer_0103.jpg,primer,Pt Depok Distribusindo Raya,2015-10-20,True,Soklinpohder Det Eoppunple 43Crr7,1.0,775.0,775.0,Sangat Murah (<=5rb),10.0,2015.0,2015-10,155.0
primer_0103.jpg,primer,Pt Depok Distribusindo Raya,2015-10-20,True,Potadee Recilar Bed Deeflsgr Rehcchg,10.0,1639.0,16390.0,Sangat Murah (<=5rb),10.0,2015.0,2015-10,3278.0
primer_0105.jpg,primer,Mixue,2024-05-12,True,Mixue Ice Cream,2.0,4000.0,8000.0,Sangat Murah (<=5rb),5.0,2024.0,2024-05,1600.0
primer_0108.jpg,primer,Ptoomfa,2026-03-28,True,Panadol Caplei Ext1O,2.0,15500.0,31000.0,Murah (5-20rb),3.0,2026.0,2026-03,6200.0
primer_0108.jpg,primer,Ptoomfa,2026-03-28,True,Hemaviton Action S S,1.0,9000.0,9000.0,Murah (5-20rb),3.0,2026.0,2026-03,1800.0
primer_0109.jpg,primer,Nota Penjualan (Asli),2025-09-29,True,Aq.1500Ml1X12,2.0,53500.0,107000.0,Mahal (50-100rb),9.0,2025.0,2025-09,21400.0
primer_0110.jpg,primer,Iomarcop,,False,Sato Fz Beef Ykniku,1.0,32000.0,32000.0,Sedang (20-50rb),,,NaT,6400.0
primer_0115.jpg,primer,P7 Depol Distribugndo Rays,2025-01-16,True,Ciu Hijab Ban Suap Teh & Zritun Ktk 72G,10.0,25150.0,251500.0,Sedang (20-50rb),1.0,2025.0,2025-01,50300.0
primer_0115.jpg,primer,P7 Depol Distribugndo Rays,2025-01-16,True,Ekonoie Crean Det Lenomsoo Drg 145Gk,1.0,17000.0,17000.0,Murah (5-20rb),1.0,2025.0,2025-01,3400.0
primer_0115.jpg,primer,P7 Depol Distribugndo Rays,2025-01-16,True,Eronumt Cnean Detuioletsoo Dag 145Cr,1.0,15000.0,15000.0,Murah (5-20rb),1.0,2025.0,2025-01,3000.0
primer_0115.jpg,primer,P7 Depol Distribugndo Rays,2025-01-16,True,Soklta Lahtat Htjauhuoa Apel Pch S2M,10.0,16500.0,165000.0,Murah (5-20rb),1.0,2025.0,2025-01,33000.0
primer_0115.jpg,primer,P7 Depol Distribugndo Rays,2025-01-16,True,Somlinlioud Oet Sokuna Jumdusct 40M,35.0,19239.0,673365.0,Murah (5-20rb),1.0,2025.0,2025-01,134673.0
primer_0115.jpg,primer,P7 Depol Distribugndo Rays,2025-01-16,True,Surseshie Cokeng Ryrn Kreresbag13Sn,1.0,25200.0,25200.0,Sedang (20-50rb),1.0,2025.0,2025-01,5040.0
primer_0116.jpg,primer,Pt. Lancar Higuna Sejahtera,2026-04-04,True,Hemav Ls 330Ml,1.0,7800.0,7800.0,Murah (5-20rb),4.0,2026.0,2026-04,1560.0
primer_0116.jpg,primer,Pt. Lancar Higuna Sejahtera,2026-04-04,True,Me-O Tuna 80G,2.0,8200.0,16400.0,Murah (5-20rb),4.0,2026.0,2026-04,3280.0
primer_0117.jpg,primer,Sms/Vh01004U886,2026-05-12,True,Rose Gulakng1Kg,1.0,17500.0,17500.0,Murah (5-20rb),5.0,2026.0,2026-05,3500.0
primer_0117.jpg,primer,Sms/Vh01004U886,2026-05-12,True,Suksess2 Ac140G,1.0,4300.0,4300.0,Sangat Murah (<=5rb),5.0,2026.0,2026-05,860.0
primer_0117.jpg,primer,Sms/Vh01004U886,2026-05-12,True,Suksess Aym129G,1.0,4300.0,4300.0,Sangat Murah (<=5rb),5.0,2026.0,2026-05,860.0
primer_0117.jpg,primer,Sms/Vh01004U886,2026-05-12,True,Suksess2 Rd132G,1.0,4300.0,4300.0,Sangat Murah (<=5rb),5.0,2026.0,2026-05,860.0
primer_0117.jpg,primer,Sms/Vh01004U886,2026-05-12,True,V-Soy Soy 300Ml,1.0,14600.0,14600.0,Murah (5-20rb),5.0,2026.0,2026-05,2920.0
